rel,ext,status,oldBytes,newBytes,oldWidth,oldHeight,newWidth,newHeight,savingBytes,savingPct,note
反向大脑UI图/08成就/08成就.png,.png,kept-original-not-smaller,1567209,1567209,1024,1536,1024,1536,0,0.00,candidate 1567209 bytes
反向大脑UI图/09游戏引导/09游戏引导页面.png,.png,kept-original-not-smaller,1363799,1363799,1024,1536,1024,1536,0,0.00,candidate 1363799 bytes
反向大脑UI图/数字速找/游戏标题.png,.png,kept-original-not-smaller,788266,788266,1536,512,1536,512,0,0.00,candidate 788266 bytes
反向大脑UI图/数字速找/游戏背景.png,.png,kept-original-not-smaller,993378,993378,864,1536,864,1536,0,0.00,candidate 993378 bytes
反向大脑UI图/数字速找/请按顺序点击标题.png,.png,kept-original-not-smaller,466985,466985,1536,512,1536,512,0,0.00,candidate 466985 bytes
反向大脑UI图/未使用待确认/560D2C2A-43C8-4C7A-96DE-E0016F92D08A.png,.png,kept-original-not-smaller,589568,589568,1402,1122,1402,1122,0,0.00,candidate 589568 bytes
反向大脑UI图/未使用待确认/895F9C60-B27E-4F2A-9E1B-C4F735F3FCDF.png,.png,kept-original-not-smaller,2523902,2523902,1024,1536,1024,1536,0,0.00,candidate 2523902 bytes
反向大脑UI图/未使用待确认/AA455393-C0EE-4001-BD89-DB277B5BF772.png,.png,kept-original-not-smaller,1470529,1470529,1402,1122,1402,1122,0,0.00,candidate 1470529 bytes
反向大脑UI图/通用组件/02-05最高分.png,.png,kept-original-not-smaller,121739,121739,1024,341,1024,341,0,0.00,candidate 121739 bytes
反向大脑UI图/04游戏进行页面/暂停/10-01继续游戏.png,.png,kept-original-not-smaller,442006,442006,1536,384,1536,384,0,0.00,candidate 442006 bytes
反向大脑UI图/04游戏进行页面/暂停/10-01设置.png,.png,kept-original-not-smaller,192392,192392,1536,384,1536,384,0,0.00,candidate 192392 bytes
反向大脑UI图/04游戏进行页面/暂停/10-01重新开始.png,.png,kept-original-not-smaller,234902,234902,1536,384,1536,384,0,0.00,candidate 234902 bytes
